"MEblack","MEbrown4","MEcyan","MEdarkgreen","MEdarkolivegreen","MEdarkorange2","MEdarkturquoise","MEfloralwhite","MEgrey60","MElightgreen","MEplum1"
"X279_120430",0.00356968904958205,-0.07108751740462,-0.0149768833231873,-0.0305087776331241,0.00835588140570215,0.0147806887218494,-0.03091963145234,0.0464753017220803,0.04853613629256,-0.0210137168517257,0.0374655307072966
"X283_120430",0.00926554331223063,-0.100377103703964,0.0858438977927518,0.0327050461269924,-0.0355323437575408,-0.048042449801221,0.0607497901151141,-0.145320941572916,-0.127819760674128,0.140797054616262,-0.114092202990838
"X285_120430",-0.0936050454648901,0.032268599437873,0.115728739739579,0.0359401747656516,-0.0505362035927816,0.0988300793529118,0.0939364377178801,-0.0854204474675007,-0.0473077135747863,0.0187439670628035,-0.0152935891696913
"X290_120430",0.105576076552433,-0.174844967569825,-0.125721825071899,-0.0220513411177873,0.00264514173650459,-0.122908516704855,0.0150665132852339,0.0138766530536991,0.0972007387367071,0.0584556208510011,0.000636832615690744
"X291_120430",-0.0139649131108429,-0.026564397915323,-0.017949194030004,-0.10399917978234,0.0933434111083686,-0.0173964498171494,-0.0483501901717397,0.0751145070303012,0.0535885229313518,-0.0469930141882338,0.0363120478757135
"X296_120430",0.0364021602908801,0.0482195981749875,-0.0257914859286269,-0.0351132221261887,0.0607752646054897,0.0538547550743896,-0.0309794809632987,0.0445575920068602,-0.0118390924822727,0.00485400069172595,-0.0274928044519153
"X298_120430",0.011593669990879,0.0841719455580785,-0.0114272071484266,0.0140897703380095,-0.0372913885733947,0.010872704851279,-0.0300653791893295,-0.00153969753295821,0.0006545877605365,0.0115966749879707,-0.00759015082846985
"X303_120430",-0.122321373550409,-0.0813699173799161,0.134850047256522,0.0830642578561045,-0.0963830759861246,0.111550705305241,-0.136093174544083,-0.0937858477703652,-0.0164725175107265,0.0352977312576684,-0.104738969620902
"X305_120430",-0.00395832824941443,-0.00990361966635723,-0.0359691591063213,0.0617425355026734,-0.0585267519362777,-0.0238026616666991,-0.0144950528457705,0.00197118645543024,0.0629823718157746,-0.0403932682470112,0.0388997302363849
"X314_120501",0.0125262979795592,0.00596697349391255,-0.0191402389114352,-0.126669310534971,0.1582444735032,-0.0152437213330842,-0.114112752365527,0.08000733463344,0.018248449290443,0.00583901607378431,-0.0165675372762895
"X322_120501",-0.0789253261857649,0.0803656818474078,0.0347962242912375,0.0426837210435788,-0.0520610357224654,0.0107021074664767,-0.0168845508195239,0.0303304311569787,-0.00476219100709494,-0.0932431730091002,0.0896132157446769
"X325_120501",-0.0343636468665365,-0.0445734331852797,0.0178748009126429,0.0243566577648178,-0.0436895402616391,-0.0428578035527895,0.00125431793696526,-0.0889068636899699,0.0990482811472235,0.065641808635445,-0.0434250589182625
"X329_120501",-0.0919409642543796,-0.0615961205474977,0.0929715476192459,0.0465212853297847,-0.0905316388465002,0.0792067466489367,0.053321826357577,-0.0606806973673415,0.075133755886974,0.00613178821361259,0.021672873834827
