"MEbisque4","MEbrown4","MEdarkorange2","MEdarkred","MEgreen","MEivory","MElightgreen","MEpaleturquoise","MEred","MEsteelblue"
"X444_120507",0.00513679222502867,-0.066380856743104,-0.00928723927360684,-0.0157867984167918,0.0906559730214201,0.0306626859782751,0.0661584812393894,0.0523795456365449,-0.0704762579692396,-0.0371348577274863
"X449_120507",0.00987240661193909,0.0908012847800902,-0.0819669693818651,-0.0236527304704558,-0.141261283774904,0.0246498502870878,-0.11760063494613,-0.0844517638377059,0.14483451853585,0.0159072757220343
"X452_120507",-0.00350696638008026,0.0282704439283557,-0.0496303446994923,-0.00537169949574749,-0.02734995253182,0.0171023873252658,-0.0451818244142266,-0.0047244976839129,0.0666523533370891,0.0719082369381761
"X458_120507",0.0656061260725403,-0.0222060042603157,-0.0649382194998177,-0.0817257151660448,0.00490218281766217,0.0643711024976643,-0.00807188567607041,0.0824768056965995,0.00492095788859375,-0.0087472455050039
"X459_120514",0.00353646076227083,-0.0268510265423074,-0.0474897072808468,-0.00174347409608253,-0.0532600603828786,0.0688075687061061,0.0166547212343576,0.0102328092662698,0.0415428474650038,-0.038177922916802
"X469_120514",-0.0574872860361177,-0.0112912077443248,0.00125148927881948,0.0593023360798249,0.0135978608567343,0.00988548505560361,0.0187320478073735,-0.0132062442086994,-0.0162506809879385,0.0120313337808626
"X47_120416",0.0755318867377156,0.0410284558932618,-0.0397924573274503,-0.0648318818986909,-0.0236497496830262,0.000908555670540979,-0.0765238099073153,0.0483147548953927,0.0460767535793604,-0.0510492126186674
"X472_120514",0.0517870557654608,0.0243250406048888,0.0417623312203979,-0.0560007463816558,0.0335962144180321,-0.0509840073010509,-0.0285890114798191,0.0342545441035395,-0.052659759005684,0.00739348190249051
"X482_120514",-0.00546000597139131,0.0200223385693863,-0.0219779353089261,0.017671756226805,-0.0314581133792199,0.0111455766559713,-0.027158831608161,-0.0646137119875038,0.037949202351389,0.00764216223035302
"X485_120515",-0.0630736726749932,0.0691156286853649,0.0260670943262698,0.0335766280431907,-0.0592162671093114,-0.0894405115947537,-0.0274834904362604,-0.0913964387953451,0.0534227883267198,0.115504636094914
"X486_120515",-0.0358214813201246,-0.0925062550490112,-0.0132003668123208,0.0513182406253071,-0.00513026231566921,0.0514388254694886,0.0984235486580963,0.0217500412772215,-0.00424992453771634,0.0417971240678968
"X488_120515",-0.00357266634341073,0.00392861612308981,0.0530378769788736,0.0134630918838359,0.0384037717829962,-0.0168234711405039,-0.0132075252901889,0.0624535562707538,-0.0385070397822477,0.0248904219518979
"X489_120515",-0.124245758415478,0.0194845559424131,0.0422000815344598,0.124634959223828,-0.0425774457198914,0.00404293021326141,0.0252902730148198,-0.122281330153743,0.0206124328443656,0.0282070127928765
"X493_120515",-0.020536020904932,-0.0316678237369175,0.0364506673058743,0.0366341921987869,0.0492904767066052,0.0195481123394178,0.029780621801211,0.0133026678058839,-0.0469193763349926,-0.0182084413941728
"X494_120515",-0.0375502459355416,-0.00519315559583828,0.011535393968153,0.0310046233801123,-0.0308389283965816,-0.0171540666388409,0.0216304124500694,0.0366025297100064,0.0188203042288857,0.0177998355281542
"X497_120515",-0.0888896585557289,-0.0628496959446876,0.0250497251940818,0.075118647471198,0.0302845571167318,0.0587144936392434,0.0743237255205923,-0.00698238555671297,-0.0300702545755037,0.0309223971180738
"X509_120515",-0.00843954166106878,-0.0756731228532869,-0.0125766124939287,-0.00173607550275713,0.0589032204054015,0.0637492632511313,0.060799058953781,0.0413738461822461,-0.0564398386229536,0.0559806141726768
"X510_120515",-0.0183295789435389,-0.102690313447176,-0.0462200912259682,-0.00556437032499593,0.0242858612957999,0.0481924909178888,0.110753113078073,0.0288207668758481,-0.0624785804605522,0.0745967470548968
"X511_120515",-0.143468857277136,0.00312067945599295,0.0745045645666396,0.127612004857997,-0.0258839067715118,-0.0382847951176761,0.0616260367178601,-0.110967405689346,-0.0148523907801767,0.0536767883818152
"X51_120416",0.0475965307778405,-0.0151232627226826,-0.0174972786730778,-0.0621975068485593,0.0111774080617716,0.0144958171543928,0.00822141894108175,-0.0143294867084137,-0.012475071006181,0.02178682212447
"X516_120515",0.0206385978219979,0.0121897146791559,-0.0688506613678187,-0.0191116143441994,-0.0364040950813123,0.0436187317580483,-0.0341211952308906,-0.0207558558315974,0.0518015541730189,-0.00557706809525413
"X520_120515",-0.0824715859269353,0.0505194659714785,0.0747211715930608,0.0893096454109905,-0.0150722464400636,-0.0448600124639904,-0.0205735475608383,-0.106755255556216,0.0119242869615563,0.0352357163696921
"X52_120416",-0.0228467017043111,-0.138348139807402,-0.0907604692592699,0.0337262482538619,-0.00751912995630697,0.139199072541805,0.105858089437763,0.0619409171064985,0.00694793050665098,-0.0130038768370065
"X523_120515",-0.0197555569020507,-0.00300486037112693,0.0437865850225518,0.037865955519836,-0.0321031059480418,0.00885209453347499,0.0346114192778693,-0.0224083915785381,-0.012852463745109,0.076000360673198
"X526_120515",0.057839114775001,-0.0514926448073455,0.0200016819595649,-0.087769069302667,0.0768501636429826,0.00290615901220897,0.0628344046150404,0.0809179862228131,-0.0833801068382003,0.0440624656564289
"X530_120515",-0.113155972800402,0.0179643088870002,0.0318495384474132,0.103887743824497,-0.0808507965444372,-0.0106496596954732,0.0202787537857623,-0.0667650125454291,0.0495817618914516,0.0502570201372941
"X531_120516",-0.0303816437308403,-0.0467663973559632,0.00113849061647746,0.0318697575556851,0.0392484174228597,0.0416325666985384,0.0438682798799873,0.0351217712661502,-0.0354883343596269,0.0473083259606184
"X532_120516",-0.0660827692345788,-0.0646623913001667,-0.117413802137203,0.0213318240038459,-0.0138113294232257,0.0767517961733889,0.0615646517744625,-0.0104252577805757,0.0248098900577933,0.0492202764300374
"X536_120516",0.0533547431995094,-0.0409149888343208,0.0222862439173104,-0.0425141928317842,0.0468184747564089,0.00888781143637178,0.0401466904508822,0.0623055334083978,-0.0767257983913973,0.0198141551976432
"X537_120516",-0.154185332792389,-0.0802091569339579,-0.0171173230942016,0.125986993425974,-0.0162331143349435,0.054982909957009,0.12178383823546,-0.0739247826617587,-0.0311953453588922,0.0614371392668809
"X538_120516",-0.0157231554231386,-0.0549450381962304,0.0232410794465493,-0.00897228900051135,0.0667601897762352,-0.0299724931974468,0.0622280584359806,0.0301719351085743,-0.0973482474732782,0.0936497471931872
"X540_120516",-0.13213628056352,0.0200946372721337,0.0391294684288416,0.128718220476406,-0.0335893501417766,-0.0344680896541614,0.0177511899728328,-0.10763215016814,0.00766658748289136,-0.0364218919877242
"X54_120417",-0.0107785835342776,-0.00506440654345298,0.10650168870983,-0.00406498114966334,0.0432938907906217,-0.0597736286592201,0.0371582868261392,0.00893296773340748,-0.0691237329406067,0.101454584425069
"X545_120516",0.0981333474875894,0.0793469267833685,0.0115865172262888,-0.113479601338076,0.0273011599222297,-0.113880065574565,-0.099374038881894,0.0768724539095274,-0.0227682607530988,0.0158029651941008
"X549_120517",0.0189907520306307,-0.0344169193178932,0.0209021149835219,-0.0121859145640801,0.0178078775944229,0.0131344154411714,0.0251243676988537,0.110093608739871,-0.0442657099128233,-0.020277393238135
"X550_120517",-0.0611990283441323,-0.0496717613196883,-0.0255616089096609,0.0499291949647047,-0.00292277884297906,0.0446609556048239,0.0637914513356506,-2.8010840271986e-05,-0.0163492815463642,-0.0402173428368772
"X553_120517",0.0317793276780231,-0.0440344606271251,0.00397108738045165,-0.0310732437904714,-0.00525941341838822,0.0360715510009753,0.0290197224906114,0.0782931125649122,-0.0102601378786586,0.0646596086213589
"X554_120517",-0.0424682453504531,-0.00651504115323672,0.0127030831733906,0.0397214006342772,0.0332167389577788,-0.00384550985889257,0.0136791573363924,-0.0437055363204902,-0.020743838949263,-0.0169055489443281
"X557_120517",0.0595352591935976,0.0499134695267854,0.055382196879692,-0.0506696494033908,-0.0287796161985877,-0.0889447008187108,-0.040272404490464,0.0355629262689225,0.0418905892625351,0.112769711189356
"X560_120517",-0.0240850251150916,-0.0277906402499281,0.0575621084004526,0.0247251018657942,0.0416128109849093,0.00173543010028189,0.0555426712526302,0.00704670070326596,-0.0645820827775764,0.0155767457164147
